DATE, "James", , , , ,"2", , , , ,"3", , , , ,"4", , , , ,"asdf", , , , ,"fdsa", , , , ,"qwer", , , , ,"zxcv", , , , ,
,  "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , , "Duty Type", "Rostered Hours", "DFT8 Duty" , "Program" , ,
20/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30/9/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1/10/2015, ICUS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9/10/2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
